word,frequency count
hart,20
dome,45
pilotage,2
mariner,41
seamen,24
transcript,69
depositor,43
hidalgo,97
alcalde,5
corn,109
devastation,32
depositary,30
indispensable,21
overdue,38
finances,78
joinder,22
interrogatories,14
mediator,14
roster,35
crest,14
redeemable,38
underwriter,81
thereupon,20
faithfully,16
abode,117
formularies,7
descent,96
camino,60
royal,70
capitals,11
traverse,25
collusion,24
slander,14
malice,14
malicious,58
retainer,64
preside,15
peculiar,16
notoriety,2
exempts,38
barton,3
offspring,34
cession,18
monopoly,29
expulsion,58
deadhead,1
acknowledgment,100
disguise,8
colorable,5
prorate,8
angel,162
indivisible,6
liberties,252
variance,58
incompetency,14
versus,63
substitutes,68
cruelty,72
husbandry,9
obscene,63
mead,14
curfew,8
admiralty,33
possessory,22
sunday,46
locator,51
prostitution,60
molestation,15
mankind,21
barter,48
aforesaid,9
entice,3
whipping,2
naked,10
vendee,6
metropolis,19
proscribed,31
sable,2
